Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
165,0.0592,0.6412,0.9810,0.7333,0.9049,0.4131,0.2457,0.3082,0.8375,0.8123
166,0.0573,0.6855,0.9829,0.7201,0.8891,0.3546,0.3498,0.3522,0.8171,0.8063
167,0.0404,0.6566,0.9884,0.7344,0.9016,0.3986,0.2772,0.3270,0.8365,0.8197
168,0.0725,0.5982,0.9764,0.7497,0.9024,0.4008,0.2683,0.3214,0.8656,0.8395
169,0.0529,0.6794,0.9831,0.7295,0.9026,0.3989,0.2567,0.3124,0.8634,0.8378
170,0.0371,0.7205,0.9893,0.7209,0.8821,0.3300,0.3573,0.3431,0.8216,0.8121
171,0.0342,0.7145,0.9906,0.7389,0.9045,0.4172,0.2724,0.3296,0.8463,0.8310
172,0.0317,0.7047,0.9906,0.7395,0.9068,0.4380,0.2875,0.3471,0.8818,0.8607
173,0.0249,0.7741,0.9934,0.7319,0.9096,0.4558,0.2505,0.3233,0.8659,0.8501
174,0.0428,0.7246,0.9891,0.7334,0.8973,0.3752,0.2882,0.3260,0.8437,0.8263
175,0.0282,0.7651,0.9921,0.7267,0.9044,0.4196,0.2841,0.3388,0.9047,0.8770
176,0.0251,0.7951,0.9928,0.7354,0.9018,0.4041,0.2943,0.3406,0.8578,0.8510
177,0.0643,0.6506,0.9819,0.7433,0.9028,0.4093,0.2888,0.3387,0.8525,0.8301
178,0.0508,0.6518,0.9840,0.7368,0.8897,0.3555,0.3436,0.3495,0.8866,0.8601
179,0.0368,0.6860,0.9891,0.7477,0.9069,0.4359,0.2724,0.3353,0.8348,0.8174
180,0.0303,0.7451,0.9913,0.7341,0.9087,0.4496,0.2656,0.3339,0.8428,0.8218
181,0.0352,0.7559,0.9900,0.6975,0.8992,0.3815,0.2731,0.3183,0.7887,0.7819
182,0.0288,0.7996,0.9918,0.7240,0.9025,0.4103,0.3005,0.3469,0.8877,0.8635
183,0.0236,0.8390,0.9935,0.7242,0.9047,0.4208,0.2799,0.3362,0.8822,0.8561
184,0.0206,0.8443,0.9942,0.7266,0.9009,0.3987,0.2950,0.3391,0.8710,0.8531
185,0.0205,0.8598,0.9946,0.7228,0.9047,0.4208,0.2799,0.3362,0.8508,0.8426
186,0.1014,0.6616,0.9778,0.7303,0.8947,0.3621,0.2902,0.3222,0.8498,0.8151
187,0.0800,0.6737,0.9757,0.7413,0.9026,0.4090,0.2923,0.3409,0.8536,0.8423
188,0.0445,0.7167,0.9858,0.7424,0.9012,0.4007,0.2957,0.3403,0.8714,0.8519
189,0.0416,0.7221,0.9867,0.7295,0.9014,0.4028,0.2991,0.3433,0.8793,0.8596
190,0.0269,0.8167,0.9924,0.7341,0.9025,0.4099,0.2991,0.3459,0.8710,0.8522
191,0.0226,0.8261,0.9937,0.7311,0.9062,0.4313,0.2772,0.3375,0.8786,0.8559
192,0.0201,0.8604,0.9950,0.7078,0.8932,0.3592,0.3046,0.3296,0.8686,0.8450
193,0.0178,0.9053,0.9956,0.7168,0.8978,0.3843,0.3080,0.3419,0.8805,0.8577
194,0.0216,0.8155,0.9939,0.7172,0.8962,0.3744,0.3039,0.3355,0.9038,0.8665
195,0.0189,0.9422,0.9954,0.7225,0.9106,0.4661,0.2539,0.3288,0.8855,0.8617
196,0.0180,0.9749,0.9954,0.7178,0.8998,0.3902,0.2882,0.3315,0.8638,0.8547
197,0.0156,1.0036,0.9959,0.7176,0.9025,0.4074,0.2875,0.3371,0.8486,0.8399
198,0.0154,1.0936,0.9962,0.7268,0.9112,0.4718,0.2519,0.3284,0.9016,0.8720
199,0.0158,1.0583,0.9959,0.7181,0.9009,0.4000,0.2998,0.3427,0.8449,0.8401
200,0.0140,1.1083,0.9965,0.7195,0.9081,0.4453,0.2704,0.3365,0.8998,0.8713
